date,v2ProductCategory,count
2016-11-06,Drinkware/,2843
2016-11-06,Drinkware/Mugs and Cups/,410
2016-11-06,Drinkware/Water Bottles and Tumblers/,975
2016-11-06,Electronics/,2277
2016-11-06,Electronics/Audio/,1015
2016-11-06,Electronics/Electronics Accessories/,842
2016-11-06,Electronics/Flashlights/,182
2016-11-06,Electronics/Power/,496
2016-11-06,Gift Cards/,70
2016-11-06,Office/,3061
2016-11-06,Office/Notebooks & Journals/,1343
2016-11-06,Office/Office Other/,194
2016-11-06,Office/Writing Instruments/,813
2016-11-06,Shop by Brand/,715
2016-11-06,Shop by Brand/Android/,987
2016-11-06,Shop by Brand/Google/,2238
2016-11-06,Shop by Brand/YouTube/,4769
2016-11-06,Lifestyle,118
2016-11-06,Office,317
2016-11-07,Accessories,18
2016-11-07,Apparel,1209
2016-11-07,Backpacks,27
2016-11-07,Bags,114
2016-11-07,Bottles,9
2016-11-07,Drinkware,427
2016-11-07,Electronics,207
2016-11-07,Gift Cards,10
2016-11-07,Headgear,92
2016-11-07,Accessories/,2417
2016-11-07,Accessories/Fun/,4234
2016-11-07,Accessories/Housewares/,1267
2016-11-07,Accessories/Pet/,592
2016-11-07,Accessories/Sports & Fitness/,334
2016-11-07,Accessories/Stickers/,1410
2016-11-07,Apparel/,5455
2016-11-07,Apparel/Headgear/,2273
2016-11-07,Apparel/Kid's/,519
2016-11-07,Apparel/Kid's/Kid's-Infant/,868
2016-11-07,Apparel/Kid's/Kid's-Toddler/,817
2016-11-07,Apparel/Kid's/Kids-Youth/,1070
2016-11-07,Apparel/Men's/,2404
2016-11-07,Apparel/Men's/Men's-Outerwear/,3932
2016-11-07,Apparel/Men's/Men's-Performance Wear/,1254
2016-11-07,Apparel/Men's/Men's-T-Shirts/,8602
2016-11-07,Apparel/Women's/,1092
2016-11-07,Apparel/Women's/Women's-Outerwear/,1922
2016-11-07,Apparel/Women's/Women's-Performance Wear/,448
2016-11-07,Apparel/Women's/Women's-T-Shirts/,2867
2016-11-07,Bags/,2857
2016-11-07,Bags/Backpacks/,2460
2016-11-07,Bags/More Bags/,1265
2016-11-07,Bags/Shopping and Totes/,730
2016-11-07,Drinkware/,2997
2016-11-07,Drinkware/Mugs and Cups/,743
2016-11-07,Drinkware/Water Bottles and Tumblers/,2713
2016-11-07,Electronics/,2878
2016-11-07,Electronics/Audio/,1870
2016-11-07,Electronics/Electronics Accessories/,1502
2016-11-07,Electronics/Flashlights/,498
2016-11-07,Electronics/Power/,1236
2016-11-07,Gift Cards/,107
2016-11-07,Office/,3253
2016-11-07,Office/Notebooks & Journals/,3003
2016-11-07,Office/Office Other/,429
2016-11-07,Office/Writing Instruments/,2189
2016-11-07,Shop by Brand/,670
2016-11-07,Shop by Brand/Android/,1349
2016-11-07,Shop by Brand/Google/,2597
2016-11-07,Shop by Brand/YouTube/,5359
2016-11-07,Lifestyle,198
2016-11-07,More Bags,26
2016-11-07,Office,528
2016-11-08,Accessories,20
2016-11-08,Apparel,1211
2016-11-08,Backpacks,19
2016-11-08,Bags,568
2016-11-08,Bottles,22
2016-11-08,Drinkware,483
2016-11-08,Electronics,218
2016-11-08,Gift Cards,112
2016-11-08,Headgear,44
2016-11-08,Accessories/,3174
2016-11-08,Accessories/Fun/,4091
2016-11-08,Accessories/Housewares/,1200
2016-11-08,Accessories/Pet/,392
2016-11-08,Accessories/Sports & Fitness/,326
2016-11-08,Accessories/Stickers/,1264
2016-11-08,Apparel/,5562
2016-11-08,Apparel/Headgear/,2004
2016-11-08,Apparel/Kid's/,443
2016-11-08,Apparel/Kid's/Kid's-Infant/,625
2016-11-08,Apparel/Kid's/Kid's-Toddler/,560
2016-11-08,Apparel/Kid's/Kids-Youth/,597
2016-11-08,Apparel/Men's/,2449
2016-11-08,Apparel/Men's/Men's-Outerwear/,3337
2016-11-08,Apparel/Men's/Men's-Performance Wear/,915
2016-11-08,Apparel/Men's/Men's-T-Shirts/,8131
2016-11-08,Apparel/Women's/,1316
2016-11-08,Apparel/Women's/Women's-Outerwear/,1937
2016-11-08,Apparel/Women's/Women's-Performance Wear/,349
2016-11-08,Apparel/Women's/Women's-T-Shirts/,3399
2016-11-08,Bags/,4132
2016-11-08,Bags/Backpacks/,2824
2016-11-08,Bags/More Bags/,1200
2016-11-08,Bags/Shopping and Totes/,782
2016-11-08,Drinkware/,4482
2016-11-08,Drinkware/Mugs and Cups/,981
2016-11-08,Drinkware/Water Bottles and Tumblers/,3516
2016-11-08,Electronics/,4097
2016-11-08,Electronics/Audio/,2162
2016-11-08,Electronics/Electronics Accessories/,1408
2016-11-08,Electronics/Flashlights/,375
2016-11-08,Electronics/Power/,847
2016-11-08,Gift Cards/,331
2016-11-08,Office/,4684
2016-11-08,Office/Notebooks & Journals/,3256
2016-11-08,Office/Office Other/,535
2016-11-08,Office/Writing Instruments/,1974
2016-11-08,Shop by Brand/,895
2016-11-08,Shop by Brand/Android/,1334
2016-11-08,Shop by Brand/Google/,2651
2016-11-08,Shop by Brand/YouTube/,5606
2016-11-08,Lifestyle,84
2016-11-08,More Bags,18
2016-11-08,Notebooks & Journals,1
2016-11-08,Office,717
2016-11-08,Tumblers,6
2016-11-08,Waze,4
2016-11-08,Wearables/Men's T-Shirts/,60
2016-11-09,Accessories,14
2016-11-09,Apparel,1005
2016-11-09,Backpacks,11
2016-11-09,Bags,295
2016-11-09,Bottles,23
2016-11-09,Drinkware,359
2016-11-09,Electronics,269
2016-11-09,Gift Cards,20
2016-11-09,Headgear,33
2016-11-09,Accessories/,2672
2016-11-09,Accessories/Fun/,4206
2016-11-09,Accessories/Housewares/,1330
2016-11-09,Accessories/Pet/,741
2016-11-09,Accessories/Sports & Fitness/,399
2016-11-09,Accessories/Stickers/,1266
2016-11-09,Apparel/,5154
2016-11-09,Apparel/Headgear/,1527
2016-11-09,Apparel/Kid's/,336
2016-11-09,Apparel/Kid's/Kid's-Infant/,749
